Group membership record for Fallen Star Family (avatar key, avatar name, last online, land contribution)
7fd16d3d-dc77-4172-b610-1b4375819000,Maligug Rex (Vaene91),2016/04/21,0
81ff0758-a7ea-4abf-84c1-f01a28f7b6c2,Bob (RiggerBob),2016/04/28,0
83f8f63c-7c82-451a-9522-ffdbd7f3690f, ღĤøƞίє ΉãVФȻღ (HonieKatz),2016/04/26,0
84cd2b49-cb01-4738-b973-46e22031a5ad,ѕнιναυgни cαяρєиσcтєм-яαуиє (Lorenna Fairey),2016/04/26,0
86362990-0790-40ea-ac45-0949eccff753,ღ ƊєвBiє ƊαŗkBℓøøм ღ (DarkBloomClub),2016/04/09,0
8927f3c9-095e-495b-ab0d-81c9eb9c526a,Gudy Hellcat (Gudy Torrance),2016/04/28,0
8c1a427c-b3a9-4b32-8175-47b71bc4e0d4, Ãαŗօη JαƳ ÑïgђϯŦяøsϯ (jayy1166),Online,0
8c343c5e-cccb-44a5-bd38-a3897f2fa816,JENAROSS,2016/03/08,0
8d0d48ce-fc5e-45f3-be70-370de1867836,Valdemarie,Online,0
8d50e18c-2cbb-4eb7-9ed3-6c2af44ca2b9,Inkivaari (Igor Tuncsik),2016/04/28,0
8d850fb8-f57d-4709-bb3c-7e4db2be9a69,purrie The Bright Star FG (Purrie),Online,0
8d935a61-a9c0-418d-a612-1d9b143390b6,Arwen Elvenstahr (Elvenstahr),2016/03/30,0
92359892-a8d1-41c4-b946-56240acaf692,immortalsavage,2016/04/27,0
940fcebc-b77d-4d32-a89b-50a4c0b883f7,Dყყʂἶʂ (Dyysis),2016/04/23,0
97c81fe1-d81e-43d5-abf4-1b7d6d7a627e,Lizzie  (kawaiichan4312),2016/04/18,0
98906b2e-f155-4fb6-91a3-3752a3c29666,ψŘαɱᴇüs Ɗαĝĝєя-ΉãVФȻψ (Rameus),Online,0
98a89261-0f97-4327-bf12-221ab11b1682,biggy311979,2016/04/20,0
997253d7-77b7-4574-a2ae-6a24849e1a30,Mία Ʀαyηε (MiaGemz),2016/02/29,0
9989ba65-cd4d-40af-ae32-2225512be4b0,Mєтαℓℓιкα Ɓαяgнєѕт (Me7alMayh3m),2016/04/28,0
9e05d7af-b9a0-40a5-a8b4-9edf41a938e1,Aℓєχα ''ℓιℓ'' Hυηтєя (HollyGoLightlyTo),2016/04/28,0
a101338c-e851-4c0e-a840-b05129b332e9,Zach (Zach Cyberstar),2016/04/28,0
a2c4b3ca-2fa8-4515-a1b3-0b85cdf684c6,ValoOrmBloodBane,2016/04/11,0
a60b94f9-6e80-42b8-aeb2-08f4cbbf2687,ƊίŗεẄøℓƒ ƊαŗkBℓøøм (javinthrope),2016/02/19,0
a9b92129-f838-44ea-889c-a34881aee958,Jessica DarkBloom (Jessicer8610),2016/04/20,0
aa3b6cf5-f612-4848-971b-23b57c26ab3e,powerman83,2016/04/02,0
aa8c49ee-1617-47a1-aa86-bd12acaf1d9c,Elysia2016,2016/03/16,0
